Ensembl Transcript ID	Chromosome Name	Transcript Start (bp)	Transcript End (bp)
ENSDART00000137636	10	38515853	38590216
ENSDART00000006538	1	51430588	51439279
ENSDART00000150420	1	51430628	51433791
ENSDART00000137290	2	24927931	24928898
ENSDART00000133495	15	30774365	30775345
ENSDART00000130595	15	30774392	30775589
ENSDART00000060083	15	30774365	30775369
ENSDART00000063544	10	33612287	33615507
ENSDART00000064666	10	20709903	20713984
ENSDART00000143868	6	19643030	19643796
ENSDART00000141013	10	33612287	33615528
ENSDART00000126727	10	33612287	33618550
ENSDART00000014031	5	39344788	39357981
ENSDART00000151219	18	49758108	49764462
ENSDART00000151583	18	49740777	49747436
ENSDART00000086563	18	49736122	49756756
ENSDART00000154332	25	19671002	19683472
ENSDART00000148766	5	39344792	39351588
ENSDART00000148795	5	39347291	39350041
ENSDART00000148842	5	39347415	39349977
ENSDART00000148586	5	39349666	39354346
ENSDART00000148549	5	39351591	39354834
ENSDART00000142921	23	21767245	21768618
ENSDART00000011082	7	52277645	52301471
ENSDART00000073609	25	14669613	14685083
ENSDART00000150621	4	50588973	50609425
ENSDART00000126457	4	50588973	50609218
ENSDART00000052324	7	40185935	40199929
ENSDART00000098010	5	37016643	37019466
ENSDART00000132772	7	40196472	40199921
ENSDART00000143325	13	32669771	32677534
ENSDART00000155408	11	37889586	37928613
ENSDART00000143240	5	67576725	67591469
ENSDART00000109235	11	37889586	37924238
ENSDART00000155612	9	30715505	30740565
ENSDART00000114585	5	67575330	67590962
ENSDART00000135615	13	37925795	37932672
ENSDART00000114536	1	28108759	28110572
ENSDART00000141291	13	37930010	37932625
ENSDART00000102501	1	24300099	24343971
ENSDART00000149219	1	28108787	28110576
ENSDART00000150004	1	28108864	28110576
ENSDART00000141892	1	24300116	24343927
ENSDART00000101876	1	28108973	28110487
ENSDART00000134200	1	24303910	24343871
ENSDART00000131628	1	24336167	24343819
ENSDART00000007906	19	16640049	16642794
ENSDART00000125686	1	24298452	24337038
ENSDART00000132278	20	29862184	29890438
ENSDART00000151228	19	16640247	16640762
ENSDART00000138017	21	28118493	28123519
ENSDART00000062421	20	29862186	29890298
ENSDART00000082842	7	58040931	58057002
ENSDART00000139426	9	33223978	33224928
ENSDART00000097307	21	28122424	28123519
ENSDART00000132662	19	16640279	16642769
ENSDART00000052366	7	39477088	39479967
ENSDART00000044860	12	20437068	20442960
ENSDART00000146711	20	25689446	25738854
ENSDART00000145910	20	25695656	25738956
ENSDART00000153118	20	25696422	25699420
ENSDART00000007754	20	25689568	25699151
ENSDART00000153199	12	24172482	24265577
ENSDART00000145381	1	55404962	55428911
ENSDART00000056005	4	16485295	16487377
ENSDART00000077580	12	24219635	24264963
ENSDART00000100657	1	55405078	55428911
ENSDART00000130594	12	24219635	24264963
ENSDART00000066929	4	24171361	24255591
ENSDART00000149151	5	39249369	39309302
ENSDART00000097723	5	39249398	39308963
ENSDART00000143697	3	26964306	26971016
ENSDART00000078127	3	26964662	26967839
ENSDART00000148902	22	23308151	23316793
ENSDART00000138026	6	38297800	38350182
ENSDART00000144106	6	38297960	38357806
ENSDART00000016310	25	31450247	31540219
ENSDART00000104135	6	38297800	38349412
ENSDART00000151090	19	23485443	23488937
ENSDART00000123155	19	28047329	28050123
ENSDART00000143680	20	40176714	40190510
ENSDART00000109681	20	40176748	40205061
ENSDART00000102027	16	34481900	34498930
ENSDART00000156204	3	24425659	24436491
ENSDART00000155216	3	24425798	24429149
ENSDART00000101041	20	40176748	40257481
ENSDART00000153820	12	46374146	46375197
ENSDART00000153203	20	40199481	40228775
ENSDART00000076518	19	36462215	36475561
ENSDART00000131119	20	40186105	40229957
ENSDART00000142656	9	28412751	28413297
ENSDART00000121818	20	40176779	40234166
ENSDART00000061233	20	40176779	40234120
ENSDART00000078018	5	32398249	32409824
ENSDART00000124265	9	28386508	28413279
ENSDART00000135510	13	37472620	37525268
ENSDART00000084009	16	34498955	34511241
ENSDART00000133242	13	37503337	37519515
ENSDART00000141577	16	34506667	34511237
ENSDART00000136750	13	37503116	37507285
ENSDART00000135935	13	37490724	37500424
ENSDART00000136122	10	27449203	27457683
ENSDART00000147884	13	37487980	37499820
ENSDART00000147706	3	31191042	31193221
ENSDART00000110501	10	27448848	27457783
ENSDART00000104812	22	31649433	31654797
ENSDART00000140547	3	31191077	31193219
ENSDART00000139734	13	37646296	37652075
ENSDART00000076816	3	31192459	31193219
ENSDART00000137970	20	47142324	47193392
ENSDART00000109608	20	47115928	47196730
ENSDART00000075522	13	37472623	37657842
ENSDART00000138669	7	39787299	39867900
ENSDART00000077887	21	27873057	27888716
ENSDART00000143090	17	31726735	31754367
ENSDART00000104332	17	31745775	31754327
ENSDART00000134150	21	27873058	27879256
ENSDART00000136237	21	27886878	27887955
ENSDART00000151910	4	32308279	32317114
ENSDART00000109176	4	32305260	32317082
ENSDART00000138974	23	25519750	25575005
ENSDART00000128510	23	25519750	25575005
ENSDART00000049893	23	25519750	25575005
ENSDART00000135966	16	34342549	34353533
ENSDART00000048739	13	37270231	37312984
ENSDART00000132178	13	41064231	41076671
ENSDART00000046766	16	22994616	22997433
ENSDART00000139692	19	49040473	49042221
ENSDART00000101276	9	29904006	29972489
ENSDART00000153760	15	32170702	32183071
ENSDART00000122200	15	32170928	32177967
ENSDART00000132878	9	29905595	29971188
ENSDART00000135334	9	29926217	29972489
ENSDART00000131508	13	39679469	39719819
ENSDART00000045434	13	39680149	39711577
ENSDART00000146180	23	33846912	33868560
ENSDART00000114308	23	33839542	33854630
ENSDART00000103330	20	28296499	28299069
ENSDART00000133923	18	28933387	28936812
ENSDART00000155161	4	36802991	36812033
ENSDART00000153319	20	28296552	28297468
ENSDART00000147262	18	28933756	28935947
ENSDART00000154378	23	34290233	34294902
ENSDART00000064904	6	39835885	39843304
ENSDART00000139036	1	45162532	45166415
ENSDART00000114115	6	39835885	39843304
ENSDART00000144900	1	45162879	45166343
ENSDART00000100166	21	38942830	38956551
ENSDART00000103746	3	26812726	26823133
ENSDART00000134342	3	26813047	26815663
ENSDART00000136966	10	35895633	35912491
ENSDART00000104519	3	16650646	16727426
ENSDART00000101215	9	29904006	29972476
ENSDART00000133312	10	35904086	35912458
ENSDART00000124962	10	35904078	35912455
ENSDART00000080854	3	16650685	16727212
ENSDART00000060315	9	29931411	29972476
ENSDART00000141070	21	28340409	28347380
ENSDART00000101269	9	29904006	29972476
ENSDART00000140566	21	28340412	28347220
ENSDART00000136425	21	28340409	28345321
ENSDART00000142435	21	28344643	28346916
ENSDART00000142485	21	28344757	28347287
ENSDART00000144871	21	28344643	28347228
ENSDART00000021997	21	17744431	17761760
ENSDART00000140129	21	17747041	17747873
ENSDART00000139622	21	17757821	17761637
ENSDART00000138957	20	42749494	42750660
ENSDART00000135922	13	8816183	8829866
ENSDART00000109966	Zv9_scaffold3461	141712	146217
ENSDART00000065424	Zv9_NA398	5995	31385
ENSDART00000129803	6	32415083	32532030
ENSDART00000129005	Zv9_NA651	5341	9278
ENSDART00000155294	6	32415292	32424493
ENSDART00000156461	6	32527161	32529295
ENSDART00000134384	22	24419319	24468620
ENSDART00000105614	22	24420231	24509855
ENSDART00000139751	10	29129687	29130649
ENSDART00000138490	21	39253498	39261624
ENSDART00000148880	12	35731406	35734728
ENSDART00000022767	12	35730852	35734538
ENSDART00000137444	21	39253534	39311659
ENSDART00000113436	21	39253534	39314828
ENSDART00000034784	2	31012872	31018337
ENSDART00000059628	9	42440891	42474607
ENSDART00000076640	3	31737569	31742307
ENSDART00000144946	2	31014992	31017076
ENSDART00000148189	3	31737593	31740198
ENSDART00000060812	2	31015109	31018341
ENSDART00000145148	3	31737624	31740680
ENSDART00000035779	14	40381620	40386292
ENSDART00000111767	18	25536287	25538613
ENSDART00000126334	14	40379105	40385763
ENSDART00000133136	4	37535305	37547134
ENSDART00000128856	4	37537538	37547068
ENSDART00000063753	20	18407551	18413602
ENSDART00000124698	22	39555553	39572992
ENSDART00000103941	20	18391447	18413602
ENSDART00000154453	20	18407842	18409458
ENSDART00000147230	18	21890090	21897089
ENSDART00000130171	22	39555940	39572932
ENSDART00000147402	22	39557003	39564675
ENSDART00000141088	22	39557910	39558724
ENSDART00000053077	3	55942902	55943723
ENSDART00000125916	22	39556523	39572858
ENSDART00000033957	Zv9_scaffold3539	192	43587
ENSDART00000155441	3	42854980	42898757
ENSDART00000154024	16	27903359	27911872
ENSDART00000112584	16	27903668	27911766
ENSDART00000111389	17	52322978	52344969
ENSDART00000017188	22	39555946	39572942
ENSDART00000157244	17	52332288	52344985
ENSDART00000156288	17	29275477	29284018
ENSDART00000153068	12	32666837	32790417
ENSDART00000123300	8	25887487	25893705
ENSDART00000087769	22	26152503	26156082
ENSDART00000155176	17	29275477	29284021
ENSDART00000155558	22	26154657	26156310
ENSDART00000140617	8	25887472	25892978
ENSDART00000130703	22	26154637	26156169
ENSDART00000128427	17	29275663	29284020
ENSDART00000104730	17	23442443	23446453
ENSDART00000009237	12	32668787	32790288
ENSDART00000122972	12	32668787	32790288
ENSDART00000156351	16	27581433	27600069
ENSDART00000134282	10	43788443	43828088
ENSDART00000133463	10	43827702	43828984
ENSDART00000005562	12	32668787	32790288
ENSDART00000037553	1	40629794	40650948
ENSDART00000109710	16	27582642	27600048
ENSDART00000149595	1	40640845	40650344
ENSDART00000031408	12	32668787	32790288
ENSDART00000125046	12	32668787	32790288
ENSDART00000133854	12	32676948	32696416
ENSDART00000145967	12	32684530	32699842
ENSDART00000128703	12	32745752	32790049
ENSDART00000121527	12	32668843	32790099
ENSDART00000139604	2	29640511	29653812
ENSDART00000110612	2	29640509	29650893
ENSDART00000143441	25	20581543	20588410
ENSDART00000038836	24	2226718	2229354
ENSDART00000053265	25	20581631	20588075
ENSDART00000018255	19	39050549	39057468
ENSDART00000156371	7	71435214	71440232
ENSDART00000129159	7	71437636	71439239
ENSDART00000017562	16	34552490	34590500
ENSDART00000059698	7	71436072	71436986
ENSDART00000143873	16	34581589	34584740
ENSDART00000143563	5	25956862	25963095
ENSDART00000041905	5	25951496	25962999
ENSDART00000084631	16	44643168	44667039
ENSDART00000131491	16	44643294	44658757
ENSDART00000131265	20	54220284	54224254
ENSDART00000084639	16	44643294	44667040
ENSDART00000143268	20	54220303	54225556
ENSDART00000058611	16	44643294	44667205
ENSDART00000153160	20	54222755	54224232
ENSDART00000132063	1	28599187	28603961
ENSDART00000121873	20	54222127	54224339
ENSDART00000006147	1	20345986	20355665
ENSDART00000136505	8	25998407	26068169
ENSDART00000146638	1	20347158	20349253
ENSDART00000145697	16	38171567	38204416
ENSDART00000147076	1	20345963	20349028
ENSDART00000055140	10	3136440	3145057
ENSDART00000147191	16	38186292	38190606
ENSDART00000130756	Zv9_NA827	802	12077
ENSDART00000147757	10	41927797	41928822
ENSDART00000045190	16	38172143	38204265
ENSDART00000134226	8	29096169	29112709
ENSDART00000141120	8	29106781	29108584
ENSDART00000153352	20	39517820	39522873
ENSDART00000136973	8	29109221	29112722
ENSDART00000087037	8	29096170	29109765
ENSDART00000047528	8	26042966	26073900
ENSDART00000144920	1	11644344	11657548
ENSDART00000148192	4	45766590	45768282
ENSDART00000135513	20	28534291	28667938
ENSDART00000057285	6	33608799	33614347
ENSDART00000075489	20	28534292	28664753
ENSDART00000138759	1	11644363	11657751
ENSDART00000143555	20	25675066	25688979
ENSDART00000146274	14	34306764	34308937
ENSDART00000067082	1	11644363	11658061
ENSDART00000141991	20	25680084	25680699
ENSDART00000052761	14	34306765	34309051
ENSDART00000121775	24	312	1781
ENSDART00000146999	14	34308032	34309011
ENSDART00000036350	20	25675204	25688803
ENSDART00000142900	1	11644368	11651696
ENSDART00000136658	1	11644398	11653797
ENSDART00000057624	8	25099602	25105876
ENSDART00000144475	1	11644489	11653207
ENSDART00000074605	6	54666464	54709200
ENSDART00000155346	24	40705317	40731100
ENSDART00000126233	24	40705342	40731067
ENSDART00000106620	22	2108472	2112937
ENSDART00000014021	3	30023938	30042619
ENSDART00000149254	14	34461165	34480123
ENSDART00000077155	12	27137671	27139822
ENSDART00000151677	3	30031649	30042575
ENSDART00000056303	24	38842181	38851224
ENSDART00000149522	14	34476736	34479840
ENSDART00000142118	3	30032642	30042337
ENSDART00000146844	24	38842701	38851801
ENSDART00000019155	22	754599	757142
ENSDART00000126064	12	32227671	32231832
ENSDART00000085295	14	34461365	34479591
ENSDART00000154572	24	32512451	32516837
ENSDART00000138488	6	33608799	33614433
ENSDART00000146373	6	33608800	33610829
ENSDART00000018107	25	36355972	36357467
ENSDART00000151414	3	34146696	34147188
ENSDART00000141483	6	33609834	33614305
ENSDART00000137447	6	33609986	33614401
ENSDART00000142110	6	33610521	33613215
ENSDART00000147630	5	43919706	43925065
ENSDART00000151795	6	33610570	33614365
ENSDART00000032702	15	35383795	35388117
ENSDART00000029703	17	25519148	25607628
ENSDART00000142250	6	33610832	33614359
ENSDART00000136860	24	25597093	25612559
ENSDART00000148207	6	33611011	33614367
ENSDART00000080997	24	25600106	25612597
ENSDART00000112432	4	856650	873576
ENSDART00000031108	6	33611440	33614358
ENSDART00000137238	6	33611848	33613809
ENSDART00000134412	5	39783058	39787513
ENSDART00000102482	16	41607245	41610172
ENSDART00000136215	16	41607273	41610168
ENSDART00000134470	1	24256914	24296137
ENSDART00000111686	1	24256266	24277420
ENSDART00000031167	20	48397098	48411961
ENSDART00000145932	10	41973806	41974822
ENSDART00000100717	4	24738857	24753696
ENSDART00000065772	21	13912129	13914833
ENSDART00000136808	13	22759896	22786346
ENSDART00000143693	2	29479227	29482122
ENSDART00000021372	18	38783548	38806097
ENSDART00000100693	4	24738853	24744986
ENSDART00000139535	21	13912189	13914539
ENSDART00000131262	13	22771429	22786346
ENSDART00000142016	10	28988530	28991098
ENSDART00000114144	10	28990157	28991087
ENSDART00000100714	4	24738857	24753685
ENSDART00000008268	2	42236837	42253253
ENSDART00000151900	19	23536147	23536422
ENSDART00000099880	10	33059096	33077995
ENSDART00000148400	2	20495131	20495229
ENSDART00000155390	10	30006394	30009343
ENSDART00000153577	10	30007323	30008389
ENSDART00000147654	1	37752950	37758646
ENSDART00000021168	2	20495131	20546256
ENSDART00000156044	10	30007722	30009344
ENSDART00000123548	10	30007230	30007988
ENSDART00000133173	18	41165491	41170660
ENSDART00000105784	24	27229143	27237920
ENSDART00000078382	19	49196461	49204831
ENSDART00000122554	24	27229143	27237920
ENSDART00000155205	2	13842660	13843688
ENSDART00000089944	16	3085833	3109880
ENSDART00000151905	4	34974182	34975983
ENSDART00000150973	18	44080553	44087906
ENSDART00000026273	20	32157440	32177943
ENSDART00000151351	18	44080653	44089051
ENSDART00000151069	18	44080995	44085278
ENSDART00000042570	18	44080789	44089048
ENSDART00000135263	1	16600275	16603823
ENSDART00000138830	4	26274562	26363971
ENSDART00000011519	4	26294753	26371614
ENSDART00000099258	20	5296273	5307600
ENSDART00000100133	2	18017414	18244676
ENSDART00000124724	2	17988789	18244675
ENSDART00000065025	5	62614804	62620397
ENSDART00000143384	9	41902512	41919490
ENSDART00000138190	5	65703290	65705777
ENSDART00000127933	8	8415022	8430594
ENSDART00000137646	1	44340718	44345961
ENSDART00000154641	15	36260993	36288011
ENSDART00000150207	24	42926843	42967441
ENSDART00000136865	8	24525197	24537602
ENSDART00000019975	24	42914072	42927052
ENSDART00000003482	9	25225715	25234504
ENSDART00000121592	24	42914072	42927052
ENSDART00000146087	9	25226384	25231204
ENSDART00000134809	13	31097773	31132673
ENSDART00000143452	18	39901133	39931726
ENSDART00000112380	13	31098700	31133332
ENSDART00000149995	18	39923102	39925886
ENSDART00000087480	18	39901596	39931833
ENSDART00000128582	18	39901596	39983970
ENSDART00000155838	17	28064873	28131055
ENSDART00000110280	17	28108768	28111746
ENSDART00000083350	5	53315188	53434604
ENSDART00000151463	3	34137691	34138178
ENSDART00000055607	3	24567007	24587755
ENSDART00000155547	17	42668486	42693269
ENSDART00000126495	20	46211226	46212248
ENSDART00000126087	17	42668649	42698188
ENSDART00000111748	14	2347082	2375473
ENSDART00000156544	3	25318057	25323929
ENSDART00000055440	3	25322121	25323822
ENSDART00000153518	15	40616667	40617006
ENSDART00000091955	7	540432	635997
ENSDART00000010019	14	34314308	34326116
ENSDART00000133248	14	34315124	34319959
ENSDART00000148128	23	21990702	22042947
ENSDART00000139537	23	28428775	28537655
ENSDART00000157202	15	36476985	36478389
ENSDART00000139908	23	28433421	28465851
ENSDART00000059625	15	36476868	36478393
ENSDART00000140589	23	28443852	28466135
ENSDART00000136086	23	28433510	28469611
ENSDART00000003548	23	28423302	28537145
ENSDART00000145408	23	22044569	22057740
ENSDART00000046613	23	21989578	22056249
ENSDART00000052123	7	49754830	49760405
ENSDART00000115335	17	24745507	24766036
ENSDART00000125113	7	49757199	49761775
ENSDART00000153964	17	24754307	24766036
ENSDART00000099751	8	24584426	24590313
ENSDART00000156696	17	24757300	24765692
ENSDART00000089516	25	23004780	23016240
ENSDART00000154108	17	24760848	24765841
ENSDART00000139831	6	38776540	38789166
ENSDART00000061497	17	53109145	53115731
ENSDART00000156953	17	24760954	24767002
ENSDART00000053187	6	38776561	38792213
ENSDART00000018270	6	55311518	55319681
ENSDART00000141700	6	55315270	55319247
ENSDART00000135296	6	55311629	55315340
ENSDART00000124774	6	55309078	55319679
ENSDART00000123426	2	19615629	19619142
ENSDART00000132657	8	24633971	24636576
ENSDART00000141879	8	24635566	24636540
ENSDART00000048623	8	24634527	24636471
ENSDART00000136082	2	37900578	37909089
ENSDART00000102672	9	6435963	6543070
ENSDART00000061170	2	43246056	43252476
ENSDART00000144518	2	37900588	37908792
ENSDART00000128043	2	37900611	37928230
ENSDART00000138144	3	5169856	5171261
ENSDART00000142342	2	37903750	37907603
ENSDART00000123236	3	9077294	9079549
ENSDART00000137395	2	37904596	37908899
ENSDART00000131901	2	37906699	37907551
ENSDART00000146485	2	37907491	37928146
ENSDART00000125139	2	37919103	37928131
ENSDART00000132589	16	31301062	31392567
ENSDART00000135680	10	45367926	45368527
ENSDART00000040357	2	37917997	37928232
ENSDART00000009826	16	31302647	31374841
ENSDART00000086220	10	45367926	45431077
ENSDART00000127849	22	6783601	6785929
ENSDART00000155237	2	37918074	37928140
ENSDART00000147591	16	31325086	31335749
ENSDART00000137034	16	31363256	31392419
ENSDART00000148899	16	31364221	31422705
ENSDART00000149376	12	47613341	47649696
ENSDART00000046114	16	31302662	31422705
ENSDART00000129498	16	31302662	31422705
ENSDART00000075626	1	33266867	33267985
ENSDART00000075152	2	45110791	45119741
ENSDART00000154768	1	33266867	33267973
ENSDART00000027032	12	47613341	47649700
ENSDART00000156877	2	45116823	45121551
ENSDART00000073549	7	56455800	56463178
ENSDART00000104728	22	33649000	33663058
ENSDART00000140536	1	58977303	58984015
ENSDART00000056801	2	24894087	24898998
ENSDART00000132533	21	23817617	23910499
ENSDART00000135300	1	58980077	59003251
ENSDART00000058370	21	23816222	23910499
ENSDART00000114463	9	49121929	49166771
ENSDART00000154679	15	15916569	15933660
ENSDART00000024354	23	36476312	36493237
ENSDART00000077873	15	15927100	15933456
ENSDART00000030984	21	20771749	20776156
ENSDART00000152928	12	47771834	47813573
ENSDART00000007856	18	25437294	25529331
ENSDART00000123357	12	47771856	47813369
ENSDART00000153445	12	47771856	47813369
ENSDART00000152880	12	47771947	47813225
ENSDART00000153089	12	47783887	47787905
ENSDART00000011497	16	31753228	31762840
ENSDART00000123834	12	47771959	47813366
ENSDART00000124290	2	4989926	4999272
ENSDART00000077087	17	27113089	27114986
ENSDART00000154996	17	39909444	39915842
ENSDART00000154599	17	39909461	39919110
ENSDART00000153620	17	53922567	53930602
ENSDART00000077357	18	42297327	42394808
ENSDART00000138682	17	40576215	40583765
ENSDART00000137473	17	40577203	40581308
ENSDART00000136862	2	58439050	58448431
ENSDART00000136734	17	40577405	40581474
ENSDART00000082084	17	53927572	53930577
ENSDART00000137095	17	40577405	40581819
ENSDART00000124244	7	18754421	18791672
ENSDART00000080825	7	18754421	18791672
ENSDART00000139287	17	40580814	40583751
ENSDART00000148535	18	42297345	42394788
ENSDART00000147958	17	40580814	40583754
ENSDART00000143320	17	40580861	40583738
ENSDART00000137615	17	40580874	40583747
ENSDART00000133046	17	40581068	40583753
ENSDART00000147400	17	40581314	40583241
ENSDART00000128406	7	19676949	19685583
ENSDART00000136290	17	40581326	40582530
ENSDART00000103487	3	30353982	30369623
ENSDART00000011568	3	40164998	40174983
ENSDART00000110269	17	53923086	53929626
ENSDART00000042368	3	18617468	18618457
ENSDART00000081436	22	10013116	10024224
ENSDART00000154210	15	31633432	31639593
ENSDART00000148051	22	41964527	41974631
ENSDART00000141989	2	42809792	42811324
ENSDART00000156525	15	31633481	31638125
ENSDART00000085701	22	41963964	41976243
ENSDART00000005767	2	42809828	42816259
ENSDART00000113443	15	31635181	31640041
ENSDART00000135493	10	27579911	27596158
ENSDART00000114457	10	27580471	27596154
ENSDART00000002773	20	35280011	35322631
ENSDART00000137915	20	35280011	35322631
ENSDART00000133366	9	57590165	57606816
ENSDART00000138876	9	57581661	57581831
ENSDART00000134648	9	57554313	57556824
ENSDART00000153332	20	35304588	35317990
ENSDART00000073405	25	37366258	37366668
ENSDART00000131974	20	35304604	35308026
ENSDART00000147320	20	35304604	35313579
ENSDART00000153070	20	35315442	35321575
ENSDART00000153425	20	35317813	35322150
ENSDART00000085042	9	57554305	57606825
ENSDART00000145906	4	60930678	60947274
ENSDART00000139305	4	60931580	60947161
ENSDART00000044115	13	36536721	36543085
ENSDART00000132831	21	29293573	29304551
ENSDART00000133072	13	36537015	36542950
ENSDART00000099978	21	42144176	42207271
ENSDART00000109719	21	29292600	29304551
ENSDART00000138710	21	42160755	42207289
ENSDART00000146346	18	47054619	47056563
ENSDART00000058989	18	47055145	47056257
ENSDART00000077725	1	34396220	34419640
ENSDART00000115166	15	24820499	24830646
ENSDART00000113810	12	17512188	17517853
ENSDART00000004295	6	40805070	40806117
ENSDART00000113808	1	34396224	34439740
ENSDART00000110137	21	31106169	31112621
ENSDART00000138308	19	45031400	45036187
ENSDART00000154105	21	31099916	31112612
ENSDART00000143094	2	42348696	42351372
ENSDART00000074027	2	42348894	42349666
ENSDART00000143503	23	20977805	20989832
ENSDART00000136525	23	20978111	20989850
ENSDART00000137331	2	37613182	37616715
ENSDART00000130877	3	56965390	56985052
ENSDART00000154405	3	56978646	56985016
ENSDART00000036318	2	37614200	37616715
ENSDART00000127679	2	37614226	37616703
ENSDART00000114170	10	44299320	44437450
ENSDART00000133648	10	42050863	42051894
ENSDART00000153984	10	42050890	42051894
ENSDART00000111706	25	36121818	36122432
ENSDART00000156688	17	42295742	42327948
ENSDART00000076997	6	25668492	25687604
ENSDART00000139240	7	40778864	40785588
ENSDART00000148748	6	25669249	25687626
ENSDART00000146702	7	40779708	40785587
ENSDART00000099001	7	40781989	40785591
ENSDART00000056328	23	40684886	40712823
ENSDART00000041740	25	32721646	32741892
ENSDART00000058472	16	35434921	35454241
ENSDART00000044043	4	24584237	24602724
ENSDART00000142276	4	24597644	24602646
ENSDART00000110195	16	35434950	35454240
ENSDART00000132125	2	26618240	26624320
ENSDART00000145262	2	26619319	26624200
ENSDART00000131134	19	15003324	15053001
ENSDART00000135585	2	26620829	26621679
ENSDART00000139683	2	26622883	26624260
ENSDART00000063175	23	44968865	44980038
ENSDART00000153619	16	50036473	50232396
ENSDART00000110471	16	50036795	50387477
ENSDART00000110388	4	24584370	24602724
ENSDART00000148435	16	56493081	56498216
ENSDART00000130127	13	33453048	33469756
ENSDART00000102712	23	43623044	43639783
ENSDART00000125037	1	45673097	45717877
ENSDART00000074683	1	45691637	45760950
ENSDART00000135980	23	43623458	43629353
ENSDART00000153259	12	38277189	38278150
ENSDART00000105484	12	38208388	38277766
ENSDART00000144775	23	43626491	43630583
ENSDART00000049099	16	56493110	56517756
ENSDART00000150117	16	56493112	56508445
ENSDART00000057103	7	9176799	9177438
ENSDART00000082604	7	67598183	67791964
ENSDART00000105848	22	10685210	10690344
ENSDART00000115078	2	16876364	16893854
ENSDART00000147440	23	25642291	25713357
ENSDART00000034790	2	37697938	37703032
ENSDART00000144554	23	25715852	25736211
ENSDART00000023359	23	25717875	25736203
ENSDART00000109023	23	25683928	25730076
ENSDART00000147990	9	45370917	45435794
ENSDART00000148826	9	45457577	45486703
ENSDART00000140964	13	28630515	28633186
ENSDART00000056844	9	45466749	45486702
ENSDART00000135210	13	28630665	28634147
ENSDART00000148077	13	28630672	28638161
ENSDART00000140821	13	28630980	28638161
ENSDART00000091327	9	45423206	45457884
ENSDART00000143225	1	52892868	52895323
ENSDART00000111786	13	38036068	38040199
ENSDART00000150734	1	52893405	52894346
ENSDART00000146483	13	38036056	38040188
ENSDART00000144511	1	45240271	45252009
ENSDART00000136071	13	38036062	38040191
ENSDART00000037516	1	35725982	35859492
ENSDART00000089144	10	27597458	27607923
ENSDART00000137091	17	41241034	41418997
ENSDART00000143714	17	41241050	41251595
ENSDART00000073519	20	46537079	46538331
ENSDART00000056742	17	41241058	41423508
ENSDART00000030448	17	31711750	31718780
ENSDART00000139914	4	51696337	51709342
ENSDART00000142050	4	51706634	51708714
ENSDART00000135732	4	51708118	51708733
ENSDART00000129493	4	51696498	51705722
ENSDART00000132450	2	30631020	30636308
ENSDART00000137903	5	40386525	40386947
ENSDART00000066192	9	56926542	56953384
ENSDART00000105620	9	56926732	56953384
ENSDART00000037904	12	37046023	37050248
ENSDART00000153127	12	37047157	37065349
ENSDART00000134724	5	62893164	62902328
ENSDART00000109632	5	62893186	62902337
ENSDART00000156294	16	18642526	18648751
ENSDART00000138121	4	24310183	24332950
ENSDART00000137012	2	30631020	30674745
ENSDART00000137188	3	40953652	40960378
ENSDART00000126356	4	24315904	24321639
ENSDART00000145233	3	40954360	40957614
ENSDART00000066934	4	24307551	24332800
ENSDART00000055203	3	40953676	40960305
ENSDART00000130289	4	24315904	24321639
ENSDART00000149721	2	30631032	30641136
ENSDART00000031141	5	50449303	50454796
ENSDART00000149923	2	30663335	30667910
ENSDART00000131606	2	30670612	30673680
ENSDART00000087126	2	30631848	30673475
ENSDART00000152356	1	56015789	56016938
ENSDART00000149937	1	59828265	59829489
ENSDART00000139037	3	53322578	53338632
ENSDART00000005568	14	30652299	30669733
ENSDART00000135515	5	54085088	54129632
ENSDART00000067562	3	53327443	53338630
ENSDART00000130432	4	41837054	41946895
ENSDART00000147111	14	30652517	30653336
ENSDART00000125543	5	54108056	54129570
ENSDART00000063456	5	54098395	54109965
ENSDART00000133775	14	30654918	30669622
ENSDART00000127547	15	30710156	30711536
ENSDART00000145896	2	37181473	37183295
ENSDART00000143053	1	37897922	37917715
ENSDART00000135833	1	37902408	37917655
ENSDART00000148494	20	47854228	47864410
ENSDART00000032042	5	15078490	15394058
ENSDART00000139690	18	43163249	43182170
ENSDART00000127953	18	43642682	43673867
ENSDART00000132775	18	43166825	43172363
ENSDART00000057637	5	15184072	15382933
ENSDART00000015786	18	43614246	43674113
ENSDART00000098523	18	43165168	43182143
ENSDART00000043938	20	47841168	47864409
ENSDART00000128401	5	15254397	15393721
ENSDART00000048322	2	52331004	52352304
ENSDART00000109219	2	38629171	38681494
ENSDART00000030691	17	25286114	25322065
ENSDART00000149804	17	25286295	25317580
ENSDART00000148592	17	25315533	25320062
ENSDART00000141677	22	24286454	24301215
ENSDART00000105488	17	25286396	25322062
ENSDART00000082509	8	48813560	48823160
ENSDART00000099138	7	44060421	44068550
ENSDART00000157151	8	48813566	48823159
ENSDART00000025451	7	51111576	51147664
ENSDART00000149657	7	76808535	76813820
ENSDART00000008476	7	44060427	44068537
ENSDART00000141934	7	51111607	51138435
ENSDART00000065841	7	76802107	76814306
ENSDART00000137059	7	51121162	51138859
ENSDART00000131210	7	51121164	51138766
